DATETIME, TI, TE, TR, TA
08:19:15,55.95,28.21,53.00,-32.40
08:19:17,56.62,28.21,53.00,-29.98
08:19:20,55.56,28.22,53.00,-23.43
08:19:22,55.24,28.23,53.00,-31.61
08:19:25,55.04,28.22,53.00,-34.72
08:19:27,55.37,28.22,53.00,-39.91
08:19:30,55.53,28.22,53.00,-47.86
08:19:32,55.72,28.21,53.00,-53.46
08:19:35,55.20,28.20,53.00,-55.29
08:19:38,54.01,28.20,53.00,-49.93
08:19:40,53.40,28.20,53.00,-46.99
08:19:43,52.92,28.20,53.00,-47.47
08:19:45,53.08,28.20,53.00,-48.43
08:19:48,52.88,28.19,53.00,-46.33
08:19:50,52.85,28.19,53.00,-46.87
